Q_ID,CL_ID,CL_GENDER,CL_CHILDREN,CL_M_INCOME,DES_CRED_VAL,CL_EDU,CL_HOUSE_SIT,CL_OCCUPATION,Q_DATE,CR_RET_DATE,E_ASSIST,RISK_CALC,CR_DECISION
1,69061054617,F,2,4373.3,23017.35,Incomplete higher education,Living with parents,Manager,2021-06-02,2023-04-23,8,6.08,Rejected
2,86021864391,F,0,14716.63,6723.29,Secondary,Living with parents,Laborer,2021-06-02,2022-05-28,15,4.26,Accepted
3,68041437034,M,0,3685.53,17382.82,Higher education,Rented apartment,Manager,2021-06-02,2023-02-22,3,2.27,Accepted
4,85051410165,F,2,13785.69,6456.76,Higher education,Living with parents,Manager,2021-06-09,2023-03-31,12,3.45,Accepted
5,95052253514,M,4,11462.8,8348.85,Incomplete higher education,Living with parents,Laborer,2021-06-09,2023-03-31,0,5.09,Accepted
6,78072047216,F,2,7110.38,4343.07,Secondary,Owned house,Laborer,2021-06-09,2022-10-02,12,6.73,Rejected
7,98051297203,M,4,11339.88,9802.5,Secondary,Owned house,Manager,2021-06-09,2023-03-01,0,4.36,Accepted
8,81012653730,M,3,7000.25,1535.28,Secondary,Owned house,Self-employed,2021-06-09,2022-11-01,12,3.73,Accepted
9,99030385221,M,3,11152.96,16783.29,Secondary,Living with parents,Laborer,2021-06-09,2022-03-06,0,4.88,Accepted
10,06272456209,M,2,8664.16,26168.94,Secondary,Owned house,Manager,2021-06-09,2022-11-01,0,4.45,Accepted
11,62121631200,M,1,4154.72,7779.31,Higher education,Rented apartment,Self-employed,2021-06-09,2022-01-05,15,2.5,Accepted
12,53123184110,M,1,8138.67,19547.15,Incomplete higher education,Owned house,Laborer,2021-06-09,2022-02-04,10,4.73,Accepted
13,63021189577,M,2,10359.02,6947.75,Secondary,Owned house,Self-employed,2021-06-09,2022-02-04,8,4.73,Accepted
14,57041540549,F,3,2890.24,14128.77,Incomplete higher education,Owned house,Manager,2021-06-09,2021-12-06,7,6.74,Rejected
15,94112548655,M,0,2037.35,16998.41,Higher education,Rented apartment,Laborer,2021-06-16,2022-04-12,0,2.79,Accepted
16,70060358225,M,2,4767.07,4063.99,Higher education,Living with parents,Manager,2021-06-16,2022-08-10,3,1.92,Accepted
17,55031413955,F,0,4395.28,26337.27,Higher education,Owned house,Laborer,2021-06-16,2022-02-11,10,5.07,Accepted
18,98051297203,M,2,7354.24,7035.71,Secondary,Rented apartment,Laborer,2021-06-16,2022-07-11,0,4.86,Accepted
19,62061949013,M,1,14123.07,25861.21,Incomplete higher education,Owned house,Manager,2021-06-16,2022-07-11,4,3.97,Accepted
20,06310604407,F,1,10545.22,20907.58,Incomplete higher education,Living with parents,Manager,2021-06-16,2021-12-13,0,5.77,Accepted
21,84060591192,F,3,9619.7,28646.69,Higher education,Owned house,Manager,2021-06-16,2023-04-07,1,5.36,Accepted
22,53062707551,M,2,6033.74,18382.49,Higher education,Living with parents,Manager,2021-06-16,2022-07-11,14,2.55,Accepted
23,63021189577,F,2,9395.94,6256.68,Secondary,Living with parents,Self-employed,2021-06-16,2022-09-09,11,5.65,Accepted
24,52021290757,F,1,11773.53,23701.75,Higher education,Rented apartment,Laborer,2021-06-23,2023-04-14,2,3.62,Accepted
25,78020537581,F,4,3880.58,28624.63,Secondary,Rented apartment,Self-employed,2021-06-23,2022-07-18,11,5.44,Accepted
26,00300515077,M,1,3963.06,1877.65,Incomplete higher education,Owned house,Laborer,2021-06-23,2022-06-18,0,5.75,Accepted
27,81090930862,F,0,13355.78,15808.03,Incomplete higher education,Rented apartment,Self-employed,2021-06-23,2023-04-14,5,5.36,Accepted
28,84060591192,F,3,9465.76,22601.61,Incomplete higher education,Owned house,Laborer,2021-06-23,2023-01-14,15,5.42,Accepted
29,79121526080,M,3,12383.94,14584.56,Secondary,Rented apartment,Laborer,2021-06-23,2023-01-14,7,4.47,Accepted
30,06222716742,F,3,9912.98,13333.17,Incomplete higher education,Owned house,Manager,2021-06-30,2023-05-21,0,6.55,Rejected
31,85091576284,M,2,3407.08,5492.6,Higher education,Rented apartment,Laborer,2021-06-30,2021-12-27,14,2.79,Accepted
32,00322719561,M,4,9039.45,8466.88,Higher education,Living with parents,Laborer,2021-06-30,2023-03-22,1,4.85,Accepted
33,66090353368,F,1,9374.74,2525.78,Incomplete higher education,Owned house,Laborer,2021-06-30,2023-03-22,1,6.04,Rejected
34,95052253514,F,3,3227.32,4415.91,Secondary,Living with parents,Laborer,2021-06-30,2023-06-20,0,7.62,Rejected
35,04293056463,M,3,2669.03,4878.51,Incomplete higher education,Rented apartment,Manager,2021-06-30,2022-02-25,13,6.47,Rejected
36,85122904531,M,2,10261.48,15771.47,Incomplete higher education,Rented apartment,Self-employed,2021-06-30,2022-05-26,14,4.09,Accepted
37,77010702059,F,1,6123.97,12528.61,Incomplete higher education,Rented apartment,Laborer,2021-06-30,2021-12-27,9,5.52,Accepted
38,54013129468,F,1,8661.1,12606.21,Secondary,Living with parents,Self-employed,2021-06-30,2023-04-21,9,5.41,Accepted
39,02250151529,M,3,14905.36,4271.25,Secondary,Rented apartment,Self-employed,2021-07-07,2022-05-03,5,5.15,Accepted
