Q_ID,CL_ID,CL_GENDER,CL_CHILDREN,CL_M_INCOME,DES_CRED_VAL,CL_EDU,CL_HOUSE_SIT,CL_OCCUPATION,Q_DATE,CR_RET_DATE,E_ASSIST,RISK_CALC,CR_DECISION
1,56111131979,F,4,6508.92,17607.49,Secondary,Living with parents,Laborer,2021-06-02,2022-09-25,6,6.41,Rejected
2,60010878563,F,0,12367.95,4782.32,Secondary,Rented apartment,Self-employed,2021-06-02,2022-05-28,1,5.36,Accepted
3,52080256464,F,3,5417.75,16563.01,Secondary,Rented apartment,Manager,2021-06-02,2023-04-23,4,6.74,Rejected
4,92091956796,M,0,11173.51,26666.26,Secondary,Owned house,Laborer,2021-06-02,2022-02-27,0,4.39,Accepted
5,76122751168,F,0,10275.08,23810.12,Secondary,Living with parents,Self-employed,2021-06-02,2023-04-23,0,4.72,Accepted
6,92021262474,M,2,14297.75,10043.43,Higher education,Rented apartment,Self-employed,2021-06-09,2022-08-03,0,4.0,Accepted
7,90102143226,F,0,5750.45,8034.84,Higher education,Living with parents,Self-employed,2021-06-09,2022-08-03,2,4.93,Accepted
8,98082920521,M,1,14148.98,25264.53,Higher education,Owned house,Self-employed,2021-06-09,2023-05-30,0,2.73,Accepted
9,64020831292,F,2,2691.55,16177.57,Higher education,Owned house,Self-employed,2021-06-09,2023-03-01,5,5.04,Accepted
10,01311928834,F,3,6213.25,15370.82,Higher education,Living with parents,Manager,2021-06-09,2022-12-31,0,5.12,Accepted
11,58072450512,F,4,10615.35,1305.17,Higher education,Rented apartment,Manager,2021-06-09,2022-03-06,4,4.34,Accepted
12,72062818713,M,3,2488.36,24022.8,Higher education,Living with parents,Laborer,2021-06-09,2023-01-30,0,2.65,Accepted
13,06271677108,M,2,14532.21,5002.8,Incomplete higher education,Owned house,Manager,2021-06-09,2022-05-05,0,4.49,Accepted
14,90022651923,M,1,13991.03,27766.35,Secondary,Living with parents,Manager,2021-06-09,2022-04-05,0,5.01,Accepted
15,02213031967,M,3,3387.35,5973.23,Secondary,Living with parents,Laborer,2021-06-09,2022-05-05,0,5.8,Accepted
16,59102659263,M,1,11746.88,24788.53,Higher education,Living with parents,Laborer,2021-06-09,2021-12-06,7,3.21,Accepted
17,59040538996,M,1,10682.34,6128.55,Higher education,Owned house,Self-employed,2021-06-16,2022-04-12,6,2.12,Accepted
18,99120512716,M,1,8549.05,12521.04,Higher education,Rented apartment,Manager,2021-06-16,2022-08-10,0,3.55,Accepted
19,58070486357,M,1,10368.83,29109.46,Higher education,Living with parents,Manager,2021-06-16,2022-04-12,4,3.71,Accepted
20,85022542523,F,4,13773.04,27983.57,Higher education,Rented apartment,Self-employed,2021-06-16,2022-02-11,5,4.65,Accepted
21,66082425995,M,2,2312.99,24317.39,Higher education,Living with parents,Laborer,2021-06-16,2022-08-10,7,3.34,Accepted
22,92091956796,F,4,12643.87,14181.22,Higher education,Living with parents,Manager,2021-06-16,2022-03-13,4,4.93,Accepted
23,76122751168,M,4,12033.8,10638.85,Secondary,Rented apartment,Manager,2021-06-16,2022-12-08,1,3.51,Accepted
24,88053050299,M,3,4164.38,21142.87,Incomplete higher education,Rented apartment,Self-employed,2021-06-23,2023-06-13,3,5.2,Accepted
25,89021623793,M,3,9485.52,1321.89,Incomplete higher education,Owned house,Manager,2021-06-23,2022-01-19,0,3.56,Accepted
26,83041878777,F,0,11584.89,28627.43,Incomplete higher education,Owned house,Manager,2021-06-23,2023-02-13,2,4.35,Accepted
27,70031638983,M,3,3575.3,13565.81,Incomplete higher education,Owned house,Self-employed,2021-06-23,2021-12-20,4,4.77,Accepted
28,61051193413,M,4,13205.5,20266.79,Incomplete higher education,Owned house,Manager,2021-06-23,2022-01-19,3,4.33,Accepted
29,93011532777,M,4,11933.68,13757.83,Incomplete higher education,Owned house,Manager,2021-06-23,2022-12-15,1,5.83,Accepted
30,52080256464,M,3,2219.21,16377.96,Incomplete higher education,Rented apartment,Self-employed,2021-06-23,2022-01-19,4,5.04,Accepted
31,65122618829,M,1,2065.29,28967.85,Higher education,Rented apartment,Laborer,2021-06-23,2022-11-15,6,2.02,Accepted
32,03260473046,F,2,11214.79,18631.37,Higher education,Living with parents,Laborer,2021-06-23,2022-12-15,0,4.66,Accepted
33,99120834581,M,2,8910.81,6648.42,Higher education,Owned house,Manager,2021-06-23,2022-09-16,0,3.35,Accepted
34,91040973877,F,3,3460.47,3587.57,Higher education,Owned house,Self-employed,2021-06-23,2022-03-20,0,6.45,Rejected
35,58122002814,F,1,8619.13,14622.96,Incomplete higher education,Owned house,Self-employed,2021-06-23,2023-04-14,7,4.86,Accepted
36,66082425995,M,3,7264.91,28807.96,Higher education,Rented apartment,Self-employed,2021-06-23,2022-02-18,0,3.86,Accepted
37,89021623793,F,4,10755.98,26434.06,Higher education,Rented apartment,Laborer,2021-06-30,2021-12-27,4,4.77,Accepted
38,80022597762,M,0,6166.38,9365.93,Secondary,Living with parents,Self-employed,2021-06-30,2022-03-27,7,4.41,Accepted
39,72061926062,M,1,7015.59,29110.1,Secondary,Rented apartment,Self-employed,2021-06-30,2022-10-23,5,3.17,Accepted
40,60010878563,M,3,7070.72,13094.84,Incomplete higher education,Living with parents,Self-employed,2021-06-30,2022-12-22,3,4.32,Accepted
41,49051037293,M,1,6294.84,17439.95,Incomplete higher education,Owned house,Manager,2021-06-30,2022-10-23,2,3.72,Accepted
42,72100136874,M,2,5655.19,24975.68,Secondary,Owned house,Manager,2021-06-30,2021-12-27,0,4.01,Accepted
43,70070850929,F,0,12641.87,28132.64,Incomplete higher education,Living with parents,Manager,2021-06-30,2021-12-27,0,5.5,Accepted
44,65110365888,F,0,2356.98,24159.59,Secondary,Living with parents,Manager,2021-06-30,2022-06-25,0,5.85,Accepted
45,85022542523,F,4,14695.4,27890.28,Secondary,Living with parents,Manager,2021-06-30,2023-04-21,6,5.2,Accepted
46,77040305122,F,3,13374.78,11054.82,Higher education,Living with parents,Laborer,2021-06-30,2022-04-26,0,5.2,Accepted
47,53022168473,F,1,4646.14,5871.46,Incomplete higher education,Rented apartment,Self-employed,2021-07-07,2022-09-30,4,5.74,Accepted
48,65070882017,F,1,8612.89,22021.9,Incomplete higher education,Owned house,Laborer,2021-07-07,2022-12-29,0,4.93,Accepted
49,97040317055,F,0,10862.36,15342.01,Secondary,Owned house,Manager,2021-07-07,2022-01-03,4,5.0,Accepted
50,71052329102,F,4,8577.04,29301.37,Higher education,Owned house,Self-employed,2021-07-07,2023-04-28,0,5.42,Accepted
51,72061926062,F,4,5248.33,5144.54,Higher education,Living with parents,Laborer,2021-07-07,2022-12-29,3,3.87,Accepted
52,93011532777,M,4,8220.39,18385.68,Secondary,Rented apartment,Self-employed,2021-07-07,2022-10-30,0,5.17,Accepted
53,81101448297,F,4,13086.26,3837.96,Incomplete higher education,Rented apartment,Laborer,2021-07-07,2022-11-29,0,5.63,Accepted
54,84060673703,F,1,8814.33,21629.76,Secondary,Owned house,Laborer,2021-07-07,2022-01-03,4,6.2,Rejected
55,98052890107,F,0,14198.5,23155.99,Higher education,Rented apartment,Manager,2021-07-07,2022-06-02,0,3.36,Accepted
